query_seq	what_def	kid	pathway	family	genus_sp
lcl|FLDA00M01B9J7T	aquacobalamin reductase / NAD(P)H-flavin reductase [EC:1.16.1.3	K05368	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01BA8AE	small subunit ribosomal protein S11e	K02949	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01BA95E	fucoxanthin	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01BABC3	tubulin alpha	K07374	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01BAJYZ	glyceraldehyde 3-phosphate dehydrogenase	K00134	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01BAOD8	large subunit ribosomal protein L13Ae	K02872	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01BAPHS	F-type H+-transporting ATPase subunit beta	K02133	Oxidative phosphorylation	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01BAUFK	methionyl-tRNA formyltransferase	K00604	One carbon pool by folate	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01BB5I3	lcl|cbr:CBG16478	NA	NA	bacillariaceae	Pseudo-nitzschia australis
lcl|FLDA00M01BB75N	ferredoxin component	NA	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01BBBPQ	fucoxanthin	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01BBGVU	small subunit ribosomal protein S19e	K02966	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01BBH3C	putative ATP-binding cassette transporter	K02471	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01BBII8	ubiquinone/menaquinone biosynthesis methyltransferase	K03183	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01BBL9E	ferredoxin--NADP+ reductase	K02641	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01BBMUN	"dynein heavy chain 1, cytosolic"	K10413	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M01BBOHO	protein transport protein SEC61 subunit alpha	K10956	NA	bacillariaceae	Phaeodactylum
lcl|FLDA00M01BBZ5A	calmodulin	K02183	Phosphatidylinositol signaling system	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01BC3XE	lcl|tps:THAPSDRAFT_32226	NA	NA	bacillariaceae	Phaeodactylum
lcl|FLDA00M01BC6ZQ	26S proteasome regulatory subunit N5	K03035	Proteasome	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01BCA1T	large subunit ribosomal protein L27e	K02901	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M01BCM4L	lcl|tps:THAPSDRAFT_268526	NA	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M01BD0X4	"actin, other eukaryote"	K10355	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01BD5SW	carotenoid isomerase	K09835	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01BDGIA	small subunit ribosomal protein S16e	K02960	Ribosome	bacillariaceae	Thalassiosira
lcl|FLDA00M01BDU0G	lcl|tps:THAPSDRAFT_18220	NA	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01BDUWY	DNA topoisomerase I	K03163	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M01BE4PZ	PCK1; phosphoenolpyruvate carboxykinase (EC:4.1.1.49)	NA	NA	Chaetocerotaceae	Chaetoceros
lcl|FLDA00M01BE8HQ	lcl|tps:THAPSDRAFT_9466	NA	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01BE8KO	fucoxanthin	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	bacillariaceae	Fragilariopsis
lcl|FLDA00M01BETCT	magnesium chelatase subunit ChlD	K03404	Porphyrin and chlorophyll metabolism	bacillariaceae	Thalassiosira
lcl|FLDA00M01BEZ80	small subunit ribosomal protein S18e	K02964	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01BF6J1	taurine dioxygenase	K03119	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M01BFQJB	tubulin alpha	K07374	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01BFTNQ	"guanine nucleotide binding protein (G protein), beta 5"	K04539	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M01BFV8E	actin beta/gamma 1	K05692	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01BGO0H	magnesium chelatase	K03403	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01BGOU5	pyridoxine biosynthesis protein	K06215	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01BGPS6	phosphoglycerate kinase	K00927	Glycolysis / Gluconeogenesis	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01BGTV6	"ATP-dependent Clp protease, protease subunit"	K01358	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01BGWGM	large subunit ribosomal protein L17e	K02880	Ribosome	bacillariaceae	Phaeodactylum
lcl|FLDA00M01BH3SB	"casein kinase 2, alpha polypeptide"	K03097	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M01BH7NY	large subunit ribosomal protein L40e	K02927	Ribosome	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01BHD55	20S proteasome subunit beta 5	K02737	Proteasome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01BHE23	aminopeptidase with a membrane alanine aminopeptidase domain (EC:3.4.11.-)	NA	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M01BHFFY	calmodulin	K02183	Phosphatidylinositol signaling system	bacillariaceae	Thalassiosira
lcl|FLDA00M01BI188	large subunit ribosomal protein L5e	K02932	Ribosome	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01BI268	coproporphyrinogen III oxidase	K00228	Porphyrin and chlorophyll metabolism	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01BI89L	"fructose-bisphosphate aldolase, class II"	K01624	Glycolysis / Gluconeogenesis	bacillariaceae	Fragilariopsis
lcl|FLDA00M01BIAF5	large subunit ribosomal protein L3e	K02925	Ribosome	bacillariaceae	Fragilariopsis
lcl|FLDA00M01BIGUD	lcl|pti:PHATRDRAFT_50238	NA	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M01BII8A	elongation factor EF-1 alpha subunit	K03231	NA	bacillariaceae	Phaeodactylum
lcl|FLDA00M01BIL31	n-acetyltransferase	NA	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01BIMUK	ubiquitin	NA	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M01BIWU5	ferredoxin--NADP+ reductase	K02641	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01BIXTD	cytosolic nonspecific dipeptidase	K08660	NA	Chaetocerotaceae	Chaetoceros
lcl|FLDA00M01BIY75	fucoxanthin	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01BJ5T7	V-type H+-transporting ATPase subunit C	K02148	Oxidative phosphorylation	bacillariaceae	Fragilariopsis
lcl|FLDA00M01BJDCE	flavodoxin I	K03839	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01BJKGZ	magnesium chelatase	K03403	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01BJMLF	fucoxanthin	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	bacillariaceae	Phaeodactylum
lcl|FLDA00M01BJO22	large subunit ribosomal protein L8e	K02938	Ribosome	Chaetocerotaceae	Chaetoceros
lcl|FLDA00M01BJOWS	molecular chaperone HtpG	K04079	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01BJPFX	large subunit ribosomal protein L12e	K02870	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01BJUMW	zeaxanthin epoxidase	K09838	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01BK0I5	ubiquitin carboxyl-terminal hydrolase 5/13	K11836	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01BK88L	VAT4; vacuolar ATP synthase (EC:3.6.1.-)	NA	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M01BK9YW	protein transport protein SEC61 subunit alpha	K10956	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01BKA60	ribulose-phosphate 3-epimerase	K01783	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01BKC99	tubulin alpha	K07374	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01BKF5U	ferredoxin--NADP+ reductase	K02641	Photosynthesis	Chaetocerotaceae	Chaetoceros
lcl|FLDA00M01BKPWW	20S proteasome subunit beta 4	K02734	Proteasome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01BKSRH	"fructose-1,6-bisphosphatase I"	K03841	Glycolysis / Gluconeogenesis	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01BKW74	ubiquitin C	K08770	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01BKX54	E1A/CREB-binding protein	K04498	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01BKXDU	large subunit ribosomal protein L44e	K02929	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01BLS2O	tubulin beta	K07375	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01BLVQF	"actin, other eukaryote"	K10355	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01BLYMT	lcl|tps:THAPSDRAFT_24725	NA	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M01BM53U	PGK1; phosphoglycerate kinase (EC:2.7.2.3)	NA	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M01BMG57	small subunit ribosomal protein S15e	K02958	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01BMHTW	large subunit ribosomal protein L10e	K02866	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01BMQXA	cofilin	K05765	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M01BMXHN	short-chain dehydrogenase/reductase family protein	NA	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01BMYYK	rag-type gtp-binding protein	NA	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M01BND65	tryptophanyl-tRNA synthetase	K01867	Tryptophan metabolism	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01BNHMB	fucoxanthin	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01BNJRQ	enolase	K01689	Glycolysis / Gluconeogenesis	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01BNM34	translation initiation factor eIF-4A	K03257	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01BO15S	magnesium chelatase subunit ChlD	K03404	Porphyrin and chlorophyll metabolism	Chaetocerotaceae	Chaetoceros
lcl|FLDA00M01BOBVF	lcl|pti:PHATRDRAFT_42673	NA	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01BOO3O	molecular chaperone HtpG	K04079	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M01BOSP5	uroporphyrinogen decarboxylase	K01599	Porphyrin and chlorophyll metabolism	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01BOTWM	carbonic anhydrase	K01672	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01BOYZ7	large subunit ribosomal protein L39e	K02924	Ribosome	bacillariaceae	Fragilariopsis
lcl|FLDA00M01BP0M6	V-type H+-transporting ATPase subunit I	K02154	Oxidative phosphorylation	bacillariaceae	Phaeodactylum
lcl|FLDA00M01BP33M	V-type H+-transporting ATPase 54 kD subunit	K02144	Oxidative phosphorylation	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01BP5XJ	K13525 transitional endoplasmic reticulum ATPase	K13525	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M01BP98E	solute carrier family 25 (mitochondrial carrier; adenine nucleotide	K05863	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01BP9GA	"ATP-dependent Clp protease, protease subunit"	K01358	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01BPCUB	oxidoreductase domain protein	NA	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01BPED6	large subunit ribosomal protein L8e	K02938	Ribosome	bacillariaceae	Fragilariopsis
lcl|FLDA00M01BPNY2	fucoxanthin	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	Chaetocerotaceae	Chaetoceros
lcl|FLDA00M01BPUM6	large subunit ribosomal protein L5e	K02932	Ribosome	bacillariaceae	Fragilariopsis
lcl|FLDA00M01BPY2F	magnesium chelatase	K03403	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01BQ13K	"1,2-diacylglycerol 3-beta-galactosyltransferase"	K03715	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01BQ3L5	peptidyl-prolyl cis-trans isomerase-like 2	K10598	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01BQ9L1	acetyl-CoA synthetase	K01895	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01BQC7R	phosphoglycerate kinase	K00927	Glycolysis / Gluconeogenesis	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01BQF2B	lcl|tps:THAPSDRAFT_5036	NA	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01BQH9I	large subunit ribosomal protein L5e	K02932	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01BQUZA	large subunit ribosomal protein L11e	K02868	Ribosome	bacillariaceae	Phaeodactylum
lcl|FLDA00M01BQY0K	small subunit ribosomal protein S7e	K02993	Ribosome	bacillariaceae	Fragilariopsis
lcl|FLDA00M01BQZ4U	actin beta/gamma 1	K05692	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01BR1YU	fucoxanthin	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01BR7PR	tubulin beta	K07375	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01BRFD1	TUA2; alpha tubulin 2	NA	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M01BRKM2	large subunit ribosomal protein L6e	K02934	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01BROL0	tubulin beta	K07375	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M01BS1YG	T-complex protein 1 subunit delta	K09496	NA	Chaetocerotaceae	Chaetoceros
lcl|FLDA00M01BS95G	lcl|tps:THAPSDRAFT_33619	NA	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01BS9H4	inorganic pyrophosphatase	K01507	Oxidative phosphorylation	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01BSGC9	small subunit ribosomal protein S2e	K02981	Ribosome	bacillariaceae	Phaeodactylum
lcl|FLDA00M01BSGHK	proliferating cell nuclear antigen	K04802	DNA replication	bacillariaceae	Thalassiosira
lcl|FLDA00M01BSPUP	26S proteasome regulatory subunit T4	K03064	Proteasome	bacillariaceae	Fragilariopsis
lcl|FLDA00M01BSPZW	small subunit ribosomal protein S3Ae	K02984	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01BSR99	large subunit ribosomal protein L10e	K02866	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01BSSOE	"glutamate-1-semialdehyde 2,1-aminomutase"	K01845	Porphyrin and chlorophyll metabolism	bacillariaceae	Pseudo-nitzschia australis
lcl|FLDA00M01BSZHL	fucoxanthin	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01BTD3I	fucoxanthin	ARM002	Metabolism; Energy Metabolism; Photosynthesis - antenna proteins	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01BTFEY	DnaJ homolog subfamily A member 2	K09503	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01BTIZC	lcl|bfo:BRAFLDRAFT_268541	NA	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01BTJ15	ferredoxin--NADP+ reductase	K02641	Photosynthesis	bacillariaceae	Thalassiosira
lcl|FLDA00M01BTX6X	T-complex protein 1 subunit delta	K09496	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M01BUBNG	"1,2-diacylglycerol 3-beta-galactosyltransferase"	K03715	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M01BUHB4	large subunit ribosomal protein L35e	K02918	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01BUK3X	elongation factor EF-1 alpha subunit	K03231	NA	bacillariaceae	Phaeodactylum
lcl|FLDA00M01BUQZD	large subunit ribosomal protein L15e	K02877	Ribosome	bacillariaceae	Fragilariopsis
lcl|FLDA00M01BURA6	ferredoxin--NADP+ reductase	K02641	Photosynthesis	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01BUV4K	"fructose-bisphosphate aldolase, class II"	K01624	Glycolysis / Gluconeogenesis	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01BVCP0	phosphoglycerate kinase	K00927	Glycolysis / Gluconeogenesis	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01BVMK1	large subunit ribosomal protein L12e	K02870	Ribosome	bacillariaceae	Thalassiosira
lcl|FLDA00M01BVQRG	porphobilinogen synthase	K01698	Porphyrin and chlorophyll metabolism	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01BVVAE	tubulin alpha	K07374	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01BVY8Y	"mitochondrial carrier protein, MC family"	K03454	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01BW7PT	magnesium chelatase	K03403	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01BWBO3	tubulin beta	K07375	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01BWFJ1	small subunit ribosomal protein S14e	K02955	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01BWFJD	"guanine nucleotide binding protein (G protein), alpha 12"	K04346	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01BWHUF	small subunit ribosomal protein S23e	K02973	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01BWIJX	small subunit ribosomal protein S15e	K02958	Ribosome	bacillariaceae	Pseudo-nitzschia australis
lcl|FLDA00M01BWJO3	lcl|pti:PHATRDRAFT_5491	NA	NA	Chaetocerotaceae	Chaetoceros
lcl|FLDA00M01BX2M3	callose synthase	K11000	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M01BX4KU	small subunit ribosomal protein S18e	K02964	Ribosome	bacillariaceae	Thalassiosira
lcl|FLDA00M01BX51S	lcl|pti:PHATRDRAFT_37067	NA	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01BX9S6	inorganic pyrophosphatase	K01507	NA	bacillariaceae	Pseudo-nitzschia australis
lcl|FLDA00M01BXCG2	heat shock 70kDa protein 5	K09490	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M01BXDDW	histone H2B	K11252	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M01BXDP9	PK6; kinase pyruvate kinase	NA	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M01BXFDO	translational activator	NA	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01BXQWG	phosphoserine aminotransferase	K00831	"Glycine, serine and threonine metabolism"	bacillariaceae	Fragilariopsis
lcl|FLDA00M01BXQY6	lcl|pti:PHATRDRAFT_13167	NA	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01BXTJW	large subunit ribosomal protein L23e	K02894	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01BY670	small subunit ribosomal protein S12e	K02951	Ribosome	bacillariaceae	Phaeodactylum
lcl|FLDA00M01BY7RO	lcl|pti:PHATRDRAFT_43556	NA	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M01BYAB9	"ammonium transporter, Amt family"	K03320	NA	bacillariaceae	Phaeodactylum
lcl|FLDA00M01BYCBR	small subunit ribosomal protein S4e	K02987	Ribosome	bacillariaceae	Thalassiosira
lcl|FLDA00M01BYCIQ	lcl|tps:THAPSDRAFT_23223	NA	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01BYEVJ	phosphoadenosine phosphosulfate reductase	K00390	Sulfur metabolism	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01BYO22	tubulin alpha	K07374	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01BYR9L	adenosylhomocysteinase	K01251	Cysteine and methionine metabolism	bacillariaceae	Thalassiosira
lcl|FLDA00M01BYVD7	ribonucleoside-diphosphate reductase subunit M1	K10807	Purine metabolism	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01BYVG8	lcl|pti:PHATRDRAFT_43556	NA	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01BYXA6	lcl|pti:PHATRDRAFT_49363	NA	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01BYZGE	Tic22 family protein	NA	NA	bacillariaceae	Phaeodactylum
lcl|FLDA00M01BZ2R0	charged multivesicular body protein 1	K12197	Endocytosis	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01BZD1M	large subunit ribosomal protein L3e	K02925	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01BZFX3	large subunit ribosomal protein L10Ae	K02865	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01BZFYC	tubulin alpha	K07374	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01BZN0V	carbamoyl-phosphate synthase	K01954	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01BZQXM	small subunit ribosomal protein S2e	K02981	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01BZWEU	small subunit ribosomal protein S23e	K02973	Ribosome	bacillariaceae	Fragilariopsis
lcl|FLDA00M01C00IK	26S proteasome regulatory subunit N1	K03028	Proteasome	bacillariaceae	Fragilariopsis
lcl|FLDA00M01C052C	lcl|pti:PHATRDRAFT_45727	NA	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M01C086V	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation	K06630	Oocyte meiosis	bacillariaceae	Thalassiosira
lcl|FLDA00M01C0D7P	small subunit ribosomal protein S11e	K02949	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01C0EGG	omega-6 fatty acid desaturase (delta-12 desaturase)	K10255	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01C0FJR	triosephosphate isomerase (TIM)	K01803	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M01C0IXJ	Lhcr7; fucoxanthin chl a/c light-harvesting protein	NA	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M01C0L5Q	S-adenosylmethionine synthetase	K00789	NA	bacillariaceae	Thalassiosira
lcl|FLDA00M01C0NG9	small subunit ribosomal protein S15e	K02958	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01C0P3D	20S proteasome subunit beta 3	K02735	Proteasome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01C0P68	small subunit ribosomal protein S23e	K02973	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01C0P9L	small subunit ribosomal protein S16e	K02960	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01C0S8U	chaperonin GroEL	K04077	RNA degradation	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01C0SJ0	aspartate-semialdehyde dehydrogenase	K00133	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01C0SOL	tubulin alpha	K07374	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01C12IX	lcl|pti:PHATR_21083*	K13525	NA	bacillariaceae	Fragilariopsis
lcl|FLDA00M01C160S	F-type H+-transporting ATPase subunit beta	K02133	Oxidative phosphorylation	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01C1E2S	phosphatidylinositol-bisphosphatase	K01099	NA	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01C1HVY	F-type H+-transporting ATPase subunit beta	K02133	Oxidative phosphorylation	bacillariaceae	Thalassiosira
lcl|FLDA00M01C1O3T	large subunit ribosomal protein L6e	K02934	Ribosome	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01C1YLU	elongation factor EF-Tu	K02358	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01C29HZ	magnesium chelatase subunit ChlD	K03404	Porphyrin and chlorophyll metabolism	bacillariaceae	Pseudo-nitzschia multiseries
lcl|FLDA00M01C2H11	lcl|pti:PHATR_43996*	NA	NA	bacillariaceae	Pseudo-nitzschia granii
lcl|FLDA00M01C2JY0	5-methyltetrahydrofolate--homocysteine methyltransferase	K00548	Cysteine and methionine metabolism	Chaetocerotaceae	Chaetoceros
lcl|FLDA00M01C2Q2G	cbbx protein	NA	NA	bacillariaceae	Pseudo-nitzschia granii
